split,topology,mask_id,Pigbt,Pfwd,h_value,h_normalized,n_instances,bytes,path
TrainData,Mask_3P6P_V1,000,150,100,2000,0.20000000298023224,4,242814,TrainData/Mask_3P6P_V1/000_Pigbt150_Pfwd100_h2000/data.h5
TrainData,Mask_3P6P_V1,000,150,100,8000,0.800000011920929,4,246175,TrainData/Mask_3P6P_V1/000_Pigbt150_Pfwd100_h8000/data.h5
TrainData,Mask_3P6P_V1,000,150,150,2000,0.20000000298023224,4,243933,TrainData/Mask_3P6P_V1/000_Pigbt150_Pfwd150_h2000/data.h5
TrainData,Mask_3P6P_V1,000,150,150,4000,0.4000000059604645,4,245736,TrainData/Mask_3P6P_V1/000_Pigbt150_Pfwd150_h4000/data.h5
TrainData,Mask_3P6P_V1,000,150,150,8000,0.800000011920929,4,247089,TrainData/Mask_3P6P_V1/000_Pigbt150_Pfwd150_h8000/data.h5
TrainData,Mask_3P6P_V1,000,150,200,4000,0.4000000059604645,4,246438,TrainData/Mask_3P6P_V1/000_Pigbt150_Pfwd200_h4000/data.h5
TrainData,Mask_3P6P_V1,000,150,200,8000,0.800000011920929,4,247717,TrainData/Mask_3P6P_V1/000_Pigbt150_Pfwd200_h8000/data.h5
TrainData,Mask_3P6P_V1,000,250,100,2000,0.20000000298023224,4,246029,TrainData/Mask_3P6P_V1/000_Pigbt250_Pfwd100_h2000/data.h5
TrainData,Mask_3P6P_V1,000,250,100,8000,0.800000011920929,4,246987,TrainData/Mask_3P6P_V1/000_Pigbt250_Pfwd100_h8000/data.h5
TrainData,Mask_3P6P_V1,000,250,150,2000,0.20000000298023224,4,246659,TrainData/Mask_3P6P_V1/000_Pigbt250_Pfwd150_h2000/data.h5
TrainData,Mask_3P6P_V1,000,250,150,4000,0.4000000059604645,4,246766,TrainData/Mask_3P6P_V1/000_Pigbt250_Pfwd150_h4000/data.h5
TrainData,Mask_3P6P_V1,000,250,150,6000,0.6000000238418579,4,246943,TrainData/Mask_3P6P_V1/000_Pigbt250_Pfwd150_h6000/data.h5
TrainData,Mask_3P6P_V1,000,250,150,8000,0.800000011920929,4,247211,TrainData/Mask_3P6P_V1/000_Pigbt250_Pfwd150_h8000/data.h5
TrainData,Mask_3P6P_V1,000,250,200,2000,0.20000000298023224,4,246873,TrainData/Mask_3P6P_V1/000_Pigbt250_Pfwd200_h2000/data.h5
TrainData,Mask_3P6P_V1,000,250,200,4000,0.4000000059604645,4,247551,TrainData/Mask_3P6P_V1/000_Pigbt250_Pfwd200_h4000/data.h5
TrainData,Mask_3P6P_V1,000,250,200,8000,0.800000011920929,4,247355,TrainData/Mask_3P6P_V1/000_Pigbt250_Pfwd200_h8000/data.h5
TrainData,Mask_3P6P_V1,000,350,100,4000,0.4000000059604645,4,248427,TrainData/Mask_3P6P_V1/000_Pigbt350_Pfwd100_h4000/data.h5
TrainData,Mask_3P6P_V1,000,350,100,8000,0.800000011920929,4,248162,TrainData/Mask_3P6P_V1/000_Pigbt350_Pfwd100_h8000/data.h5
TrainData,Mask_3P6P_V1,000,350,150,2000,0.20000000298023224,4,247895,TrainData/Mask_3P6P_V1/000_Pigbt350_Pfwd150_h2000/data.h5
TrainData,Mask_3P6P_V1,000,350,150,6000,0.6000000238418579,4,248779,TrainData/Mask_3P6P_V1/000_Pigbt350_Pfwd150_h6000/data.h5
